brief,objective,screen_id,screen_kind,screen_type,mount_position,screen_size,location_name,location_type,zone_name,city_name,market_tier,routes,time_block_id,time_block_hours,daypart,slots_per_day,price_floor,price_target,price_cap,cost_per_day,cost_for_campaign,demand_score,demand_basis,impressions_standalone_daily,impressions_marginal_daily,impressions_marginal_weekly,relevance_score,relevance_reason,audience_cluster,data_confidence,audience_profile,nearby_pois
campaign_1,conversion,LH-SCR-003105,fixed,metro_station,platform,S,Riverside Junction Central,metro_station,Riverside Junction,Las Hackland,premium,Green Line,5,16:00-20:00,evening,1,57.64,59.8,103.75,59.8,2691.0,0.0625,own_history,47461.0,47461.0,332230.0,0.6157,"70% of local population in target age range (18_34, 35_54); commuter index 0.52; matches requested daypart (evening); no nearby POIs match requested type(s): office_park",LOC::LH-LOC-0017,high,"Evening block, roadside/platform panel; serving Riverside Junction; mid-income area (mixed skew); ~92,786 riders in this block; nearby draws: hospital, residential tower; network hub adjacency.",hospital; residential_tower; grocery_anchor
campaign_1,conversion,LH-SCR-003593,fixed,metro_station,platform,S,Harborfront Terminal,metro_station,Harborfront,Las Hackland,premium,Green Line,5,16:00-20:00,evening,1,62.04,63.48,111.67,63.48,2856.6,0.0388,own_history,47342.0,47342.0,331395.0,0.8579,"57% of local population in target age range (18_34, 35_54); commuter index 0.52; matches requested daypart (evening); nearby office_park POI(s) relevant to campaign",LOC::LH-LOC-0082,high,"Evening block, roadside/platform panel; serving Harborfront; mid-income area (mixed skew); ~92,553 riders in this block; nearby draws: office park, grocery anchor; network hub adjacency.",office_park; grocery_anchor; tourist_landmark
campaign_1,conversion,LH-SCR-003796,fixed,metro_station,platform,S,North Terminus Interchange,metro_station,North Terminus,Las Hackland,premium,Blue Line,5,16:00-20:00,evening,1,58.11,59.68,104.6,59.68,2685.6,0.045,own_history,48470.0,46853.0,327972.0,0.5792,"48% of local population in target age range (18_34, 35_54); commuter index 0.52; matches requested daypart (evening); nearby office_park POI(s) relevant to campaign",LOC::LH-LOC-0068,high,"Evening block, roadside/platform panel; serving North Terminus; value-income area (mixed skew); ~94,757 riders in this block; nearby draws: tourist landmark, residential tower; network hub adjacency.",tourist_landmark; residential_tower; office_park
campaign_1,conversion,LH-SCR-005041,fixed,metro_station,platform,S,Harborfront Central,metro_station,Harborfront,Las Hackland,premium,Green Line,5,16:00-20:00,evening,1,64.71,65.01,116.48,65.01,2925.45,0.0078,own_history,46238.0,46238.0,323667.0,0.7838,"57% of local population in target age range (18_34, 35_54); commuter index 0.52; matches requested daypart (evening); nearby office_park POI(s) relevant to campaign",LOC::LH-LOC-0092,high,"Evening block, roadside/platform panel; serving Harborfront; mid-income area (mixed skew); ~90,395 riders in this block; nearby draws: office park, grocery anchor; network hub adjacency.",office_park; grocery_anchor; hospital
campaign_1,conversion,LH-SCR-002359,fixed,metro_station,platform,S,North Terminus Interchange,metro_station,North Terminus,Las Hackland,premium,Copper Line,5,16:00-20:00,evening,1,52.17,53.65,93.91,53.65,2414.25,0.0474,own_history,47705.0,46214.0,323499.0,0.5333,"48% of local population in target age range (18_34, 35_54); commuter index 0.51; matches requested daypart (evening); no nearby POIs match requested type(s): office_park",LOC::LH-LOC-0028,high,"Evening block, roadside/platform panel; serving North Terminus; value-income area (mixed skew); ~93,262 riders in this block; nearby draws: tourist landmark, entertainment district; network hub adjacency.",tourist_landmark; entertainment_district; shopping_mall
campaign_1,conversion,LH-SCR-003650,fixed,metro_station,platform,S,Harborfront Interchange,metro_station,Harborfront,Las Hackland,premium,Green Line,5,16:00-20:00,evening,1,62.45,62.98,112.41,62.98,2834.1,0.0142,own_history,47463.0,45880.0,321162.0,0.5958,"57% of local population in target age range (18_34, 35_54); commuter index 0.52; matches requested daypart (evening); no nearby POIs match requested type(s): office_park",LOC::LH-LOC-0052,high,"Evening block, roadside/platform panel; serving Harborfront; mid-income area (mixed skew); ~92,790 riders in this block; nearby draws: entertainment district, residential tower; network hub adjacency.",entertainment_district; residential_tower; shopping_mall
campaign_1,conversion,LH-SCR-004282,fixed,metro_station,platform,S,Riverside Junction Central,metro_station,Riverside Junction,Las Hackland,premium,Yellow Line,5,16:00-20:00,evening,1,67.42,68.53,121.36,68.53,3083.85,0.0275,own_history,45678.0,45678.0,319749.0,0.9133,"70% of local population in target age range (18_34, 35_54); commuter index 0.51; matches requested daypart (evening); nearby office_park POI(s) relevant to campaign",LOC::LH-LOC-0037,high,"Evening block, roadside/platform panel; serving Riverside Junction; mid-income area (mixed skew); ~89,301 riders in this block; nearby draws: office park, shopping mall; network hub adjacency.",office_park; shopping_mall; entertainment_district
campaign_1,conversion,LH-SCR-002514,fixed,metro_station,platform,S,North Terminus Central,metro_station,North Terminus,Las Hackland,premium,Green Line,5,16:00-20:00,evening,1,57.2,58.86,102.96,58.86,2648.7,0.0485,own_history,45181.0,45181.0,316264.0,0.7431,"48% of local population in target age range (18_34, 35_54); commuter index 0.52; matches requested daypart (evening); nearby office_park POI(s) relevant to campaign",LOC::LH-LOC-0088,high,"Evening block, roadside/platform panel; serving North Terminus; value-income area (mixed skew); ~88,327 riders in this block; nearby draws: office park, residential tower; network hub adjacency.",office_park; residential_tower; shopping_mall
campaign_1,conversion,LH-SCR-005519,fixed,metro_station,platform,S,Old Mill District Central,metro_station,Old Mill District,Las Hackland,premium,Yellow Line,5,16:00-20:00,evening,1,55.83,56.76,100.49,56.76,2554.2,0.0279,own_history,46267.0,44821.0,313749.0,0.569,"53% of local population in target age range (18_34, 35_54); commuter index 0.52; matches requested daypart (evening); no nearby POIs match requested type(s): office_park",LOC::LH-LOC-0023,high,"Evening block, roadside/platform panel; serving Old Mill District; value-income area (blue_collar skew); ~90,452 riders in this block; nearby draws: grocery anchor, residential tower; network hub adjacency.",grocery_anchor; residential_tower; hospital
campaign_1,conversion,LH-SCR-002619,fixed,metro_station,platform,S,Old Mill District Central,metro_station,Old Mill District,Las Hackland,premium,Green Line,5,16:00-20:00,evening,1,54.86,56.59,98.75,56.59,2546.55,0.0525,own_history,45812.0,44284.0,309991.0,0.5699,"53% of local population in target age range (18_34, 35_54); commuter index 0.52; matches requested daypart (evening); no nearby POIs match requested type(s): office_park",LOC::LH-LOC-0073,high,"Evening block, roadside/platform panel; serving Old Mill District; value-income area (blue_collar skew); ~89,562 riders in this block; nearby draws: grocery anchor, hospital; network hub adjacency.",grocery_anchor; hospital; shopping_mall
campaign_1,conversion,LH-SCR-004595,fixed,metro_station,platform,S,Riverside Junction Terminal,metro_station,Riverside Junction,Las Hackland,premium,Copper Line,5,16:00-20:00,evening,1,57.16,58.43,102.89,58.43,2629.35,0.0369,own_history,45582.0,44158.0,309103.0,0.6181,"70% of local population in target age range (18_34, 35_54); commuter index 0.53; matches requested daypart (evening); no nearby POIs match requested type(s): office_park",LOC::LH-LOC-0027,high,"Evening block, roadside/platform panel; serving Riverside Junction; mid-income area (mixed skew); ~89,112 riders in this block; nearby draws: hospital, tourist landmark; network hub adjacency.",hospital; tourist_landmark; entertainment_district
campaign_1,conversion,LH-SCR-005255,fixed,metro_station,platform,S,Market Quarter Central,metro_station,Market Quarter,Las Hackland,premium,Silver Line,5,16:00-20:00,evening,1,61.02,61.4,109.84,61.4,2763.0,0.0105,own_history,45959.0,43406.0,303844.0,0.6181,"63% of local population in target age range (18_34, 35_54); commuter index 0.53; matches requested daypart (evening); no nearby POIs match requested type(s): office_park",LOC::LH-LOC-0019,high,"Evening block, roadside/platform panel; serving Market Quarter; mid-income area (retail_service skew); ~89,850 riders in this block; nearby draws: grocery anchor, residential tower; network hub adjacency.",grocery_anchor; residential_tower; shopping_mall
campaign_1,conversion,LH-SCR-005312,fixed,metro_station,platform,S,East Commons Terminal,metro_station,East Commons,Las Hackland,premium,Blue Line 2,5,16:00-20:00,evening,1,57.48,58.87,103.46,58.87,2649.15,0.0402,own_history,32094.0,31150.0,218052.0,0.8372,"58% of local population in target age range (18_34, 35_54); commuter index 0.51; matches requested daypart (evening); nearby office_park POI(s) relevant to campaign",LOC::LH-LOC-0070,high,"Evening block, roadside/platform panel; serving East Commons; mid-income area (mixed skew); ~62,743 riders in this block; nearby draws: entertainment district, office park; network hub adjacency.",entertainment_district; office_park; shopping_mall
campaign_1,conversion,LH-SCR-005985,fixed,metro_station,platform,S,Riverside Junction Interchange,metro_station,Riverside Junction,Las Hackland,premium,Copper Line,5,16:00-20:00,evening,1,62.13,63.99,111.83,63.99,2879.55,0.05,own_history,32215.0,31140.0,217983.0,0.913,"70% of local population in target age range (18_34, 35_54); commuter index 0.51; matches requested daypart (evening); nearby office_park POI(s) relevant to campaign",LOC::LH-LOC-0077,high,"Evening block, roadside/platform panel; serving Riverside Junction; mid-income area (mixed skew); ~62,979 riders in this block; nearby draws: office park, grocery anchor; network hub adjacency.",office_park; grocery_anchor; residential_tower
campaign_2,conversion,LH-SCR-003202,fixed,metro_station,platform,S,Uptown Crescent Terminal,metro_station,Uptown Crescent,Las Hackland,premium,Blue Line,5,16:00-20:00,evening,1,54.93,56.33,98.87,56.33,1182.93,0.0426,own_history,49678.0,49678.0,347744.0,0.9169,"66% of local population in target age range (18_34); commuter index 0.52; matches requested daypart (evening); nearby entertainment_district, university POI(s) relevant to campaign",LOC::LH-LOC-0004,high,"Evening block, roadside/platform panel; serving Uptown Crescent; value-income area (student skew); ~97,119 riders in this block; nearby draws: entertainment district, university; network hub adjacency.",entertainment_district; university; residential_tower
campaign_2,conversion,LH-SCR-002837,fixed,metro_station,platform,S,Uptown Crescent Interchange,metro_station,Uptown Crescent,Las Hackland,premium,Violet Line,3,08:00-12:00,midday,1,44.51,45.08,80.12,45.08,946.68,0.0212,own_history,44503.0,44503.0,311519.0,0.7957,"66% of local population in target age range (18_34); commuter index 0.52; outside requested daypart(s) (evening, night, morning); nearby university, entertainment_district POI(s) relevant to campaign",LOC::LH-LOC-0024,high,"Midday block, roadside/platform panel; serving Uptown Crescent; value-income area (student skew); ~87,002 riders in this block; nearby draws: grocery anchor, university; network hub adjacency.",grocery_anchor; university; entertainment_district
campaign_2,conversion,LH-SCR-004536,fixed,metro_station,platform,S,Uptown Crescent Terminal,metro_station,Uptown Crescent,Las Hackland,premium,Red Line,5,16:00-20:00,evening,1,54.12,54.69,97.42,54.69,1148.49,0.0174,own_history,47286.0,44134.0,308941.0,0.9166,"66% of local population in target age range (18_34); commuter index 0.52; matches requested daypart (evening); nearby university, entertainment_district POI(s) relevant to campaign",LOC::LH-LOC-0084,high,"Evening block, roadside/platform panel; serving Uptown Crescent; value-income area (student skew); ~92,443 riders in this block; nearby draws: university, entertainment district; network hub adjacency.",university; entertainment_district; shopping_mall
campaign_2,conversion,LH-SCR-002699,fixed,metro_station,platform,S,Uptown Crescent Interchange,metro_station,Uptown Crescent,Las Hackland,premium,Red Line,3,08:00-12:00,midday,1,41.73,44.14,75.11,44.14,926.94,0.0964,own_history,45987.0,42922.0,300452.0,0.7642,"66% of local population in target age range (18_34); commuter index 0.52; outside requested daypart(s) (evening, night, morning); nearby university POI(s) relevant to campaign",LOC::LH-LOC-0034,high,"Midday block, roadside/platform panel; serving Uptown Crescent; value-income area (student skew); ~89,903 riders in this block; nearby draws: university, grocery anchor; network hub adjacency.",university; grocery_anchor; shopping_mall
campaign_2,conversion,DAT-SCR-002232,fixed,metro_station,platform,S,Bellwood Central,metro_station,Bellwood,DA Town,standard,Blue Line,3,08:00-12:00,midday,1,33.91,35.77,61.04,35.77,751.17,0.0913,own_history,39943.0,39943.0,279602.0,0.655,"65% of local population in target age range (18_34); commuter index 0.52; outside requested daypart(s) (evening, night, morning); nearby university, entertainment_district POI(s) relevant to campaign",LOC::DAT-LOC-0034,high,"Midday block, roadside/platform panel; serving Bellwood; value-income area (student skew); ~78,088 riders in this block; nearby draws: residential tower, grocery anchor; network hub adjacency.",residential_tower; grocery_anchor; university
campaign_2,conversion,DAT-SCR-001704,fixed,metro_station,platform,S,Bellwood Interchange,metro_station,Bellwood,DA Town,standard,Blue Line,3,08:00-12:00,midday,1,32.84,33.59,59.11,33.59,705.39,0.0382,own_history,37503.0,37503.0,262518.0,0.7948,"65% of local population in target age range (18_34); commuter index 0.52; outside requested daypart(s) (evening, night, morning); nearby university, entertainment_district POI(s) relevant to campaign",LOC::DAT-LOC-0044,high,"Midday block, roadside/platform panel; serving Bellwood; value-income area (student skew); ~73,317 riders in this block; nearby draws: university, residential tower; network hub adjacency.",university; residential_tower; grocery_anchor
campaign_2,conversion,DAT-SCR-002819,fixed,metro_station,platform,S,Bellwood Terminal,metro_station,Bellwood,DA Town,standard,Yellow Line,3,08:00-12:00,midday,1,33.97,35.82,52.53,35.82,752.22,0.0909,own_history,37874.0,34267.0,239866.0,0.563,"65% of local population in target age range (18_34); commuter index 0.52; outside requested daypart(s) (evening, night, morning); nearby entertainment_district, university POI(s) relevant to campaign",LOC::DAT-LOC-0004,high,"Midday block, roadside/platform panel; serving Bellwood; value-income area (student skew); ~74,043 riders in this block; nearby draws: grocery anchor, shopping mall; network hub adjacency.",grocery_anchor; shopping_mall; university
campaign_2,conversion,LH-SCR-002332,fixed,metro_station,platform,S,Uptown Crescent Terminal,metro_station,Uptown Crescent,Las Hackland,premium,Violet Line,5,16:00-20:00,evening,1,49.76,50.19,89.57,50.19,1053.99,0.0145,own_history,32877.0,31286.0,218999.0,0.9142,"66% of local population in target age range (18_34); commuter index 0.51; matches requested daypart (evening); nearby university, entertainment_district POI(s) relevant to campaign",LOC::LH-LOC-0014,high,"Evening block, roadside/platform panel; serving Uptown Crescent; value-income area (student skew); ~64,274 riders in this block; nearby draws: entertainment district, grocery anchor; network hub adjacency.",entertainment_district; grocery_anchor; university
campaign_2,conversion,ACS-SCR-001492,fixed,metro_station,platform,S,Fallowfield Interchange,metro_station,Fallowfield,Accordionshire,value,Red Line,3,08:00-12:00,midday,1,24.97,26.93,44.95,26.93,565.53,0.131,own_history,26900.0,25107.0,175748.0,0.7693,"66% of local population in target age range (18_34); commuter index 0.51; outside requested daypart(s) (evening, night, morning); nearby university, stadium_arena POI(s) relevant to campaign",LOC::ACS-LOC-0004,high,"Midday block, roadside/platform panel; serving Fallowfield; value-income area (student skew); ~52,588 riders in this block; nearby draws: grocery anchor, stadium arena; network hub adjacency.",grocery_anchor; stadium_arena; shopping_mall
campaign_2,conversion,ACS-SCR-001662,fixed,metro_station,platform,S,Fallowfield Central,metro_station,Fallowfield,Accordionshire,value,Blue Line,5,16:00-20:00,evening,1,27.88,27.95,43.6,27.95,586.95,0.0042,own_history,28386.0,24019.0,168134.0,0.787,66% of local population in target age range (18_34); commuter index 0.52; matches requested daypart (evening); nearby entertainment_district POI(s) relevant to campaign,LOC::ACS-LOC-0024,high,"Evening block, roadside/platform panel; serving Fallowfield; value-income area (student skew); ~55,495 riders in this block; nearby draws: residential tower, entertainment district; network hub adjacency.",residential_tower; entertainment_district; grocery_anchor
campaign_2,conversion,DAT-SCR-001975,fixed,metro_station,platform,S,Bellwood Terminal,metro_station,Bellwood,DA Town,standard,Yellow Line,3,08:00-12:00,midday,1,30.8,31.86,55.44,31.86,669.06,0.0572,own_history,26167.0,23674.0,165719.0,0.7948,"65% of local population in target age range (18_34); commuter index 0.52; outside requested daypart(s) (evening, night, morning); nearby university, entertainment_district POI(s) relevant to campaign",LOC::DAT-LOC-0054,high,"Midday block, roadside/platform panel; serving Bellwood; value-income area (student skew); ~51,155 riders in this block; nearby draws: entertainment district, residential tower; network hub adjacency.",entertainment_district; residential_tower; university
campaign_2,conversion,ACS-SCR-001614,fixed,metro_station,platform,M,Fallowfield Terminal,metro_station,Fallowfield,Accordionshire,value,Green Line,2,04:00-08:00,morning,1,24.83,24.86,44.69,24.86,522.06,0.0021,own_history,22621.0,22621.0,158346.0,0.9133,"66% of local population in target age range (18_34); commuter index 0.51; matches requested daypart (morning); nearby entertainment_district, university POI(s) relevant to campaign",LOC::ACS-LOC-0014,high,"Morning block, roadside/platform panel; serving Fallowfield; value-income area (student skew); ~44,223 riders in this block; nearby draws: university, grocery anchor; network hub adjacency.",university; grocery_anchor; residential_tower
campaign_2,conversion,LH-SCR-002701,fixed,metro_station,platform,S,Uptown Crescent Interchange,metro_station,Uptown Crescent,Las Hackland,premium,Red Line,3,08:00-12:00,midday,1,44.67,45.12,80.41,45.12,947.52,0.0168,own_history,45987.0,21461.0,150226.0,0.7642,"66% of local population in target age range (18_34); commuter index 0.52; outside requested daypart(s) (evening, night, morning); nearby university POI(s) relevant to campaign",LOC::LH-LOC-0034,high,"Midday block, roadside/platform panel; serving Uptown Crescent; value-income area (student skew); ~89,903 riders in this block; nearby draws: university, grocery anchor; network hub adjacency.",university; grocery_anchor; shopping_mall
campaign_2,conversion,DAT-SCR-001708,fixed,metro_station,platform,S,Bellwood Interchange,metro_station,Bellwood,DA Town,standard,Blue Line,3,08:00-12:00,midday,1,32.56,33.67,58.61,33.67,707.07,0.0568,own_history,37503.0,16965.0,118757.0,0.7948,"65% of local population in target age range (18_34); commuter index 0.52; outside requested daypart(s) (evening, night, morning); nearby university, entertainment_district POI(s) relevant to campaign",LOC::DAT-LOC-0044,high,"Midday block, roadside/platform panel; serving Bellwood; value-income area (student skew); ~73,317 riders in this block; nearby draws: university, residential tower; network hub adjacency.",university; residential_tower; grocery_anchor
campaign_2,conversion,ACS-SCR-001611,fixed,metro_station,platform,L,Fallowfield Terminal,metro_station,Fallowfield,Accordionshire,value,Green Line,2,04:00-08:00,morning,1,24.83,24.88,44.69,24.88,522.48,0.0033,own_history,22621.0,9570.0,66992.0,0.9133,"66% of local population in target age range (18_34); commuter index 0.51; matches requested daypart (morning); nearby entertainment_district, university POI(s) relevant to campaign",LOC::ACS-LOC-0014,high,"Morning block, roadside/platform panel; serving Fallowfield; value-income area (student skew); ~44,223 riders in this block; nearby draws: university, grocery anchor; network hub adjacency.",university; grocery_anchor; residential_tower
